method,mAP,Rank-1,Rank-5,Rank-10
CLIP baseline,0.23377280761910718,0.1550000011920929,0.3799999952316284,0.5099999904632568
CLIP rerank k1=6 k2=1 lambda=0.1,0.262970115056551,0.18000000715255737,0.36000001430511475,0.5299999713897705
CLIP rerank k1=6 k2=1 lambda=0.3,0.2620335979819087,0.18000000715255737,0.36000001430511475,0.5249999761581421
CLIP rerank k1=6 k2=1 lambda=0.5,0.2578949583661275,0.17499999701976776,0.375,0.5199999809265137
CLIP rerank k1=6 k2=1 lambda=0.7,0.2516274986668303,0.17000000178813934,0.36500000953674316,0.5149999856948853
CLIP rerank k1=6 k2=3 lambda=0.1,0.26054623771654045,0.1899999976158142,0.33500000834465027,0.4449999928474426
CLIP rerank k1=6 k2=3 lambda=0.3,0.2625595270647886,0.1899999976158142,0.35499998927116394,0.45500001311302185
CLIP rerank k1=6 k2=3 lambda=0.5,0.2643529209991303,0.1850000023841858,0.375,0.48500001430511475
CLIP rerank k1=6 k2=3 lambda=0.7,0.2573307233074706,0.17499999701976776,0.3799999952316284,0.4950000047683716
CLIP rerank k1=6 k2=6 lambda=0.1,0.24300027107661515,0.17499999701976776,0.3050000071525574,0.41999998688697815
CLIP rerank k1=6 k2=6 lambda=0.3,0.24790653679958702,0.18000000715255737,0.3149999976158142,0.42500001192092896
CLIP rerank k1=6 k2=6 lambda=0.5,0.2499666733592013,0.18000000715255737,0.3149999976158142,0.4449999928474426
CLIP rerank k1=6 k2=6 lambda=0.7,0.24714943588874203,0.18000000715255737,0.3449999988079071,0.4950000047683716
CLIP rerank k1=10 k2=1 lambda=0.1,0.259802581762156,0.1899999976158142,0.3449999988079071,0.47999998927116394
CLIP rerank k1=10 k2=1 lambda=0.3,0.25834981822412617,0.18000000715255737,0.35499998927116394,0.48500001430511475
CLIP rerank k1=10 k2=1 lambda=0.5,0.25892821132809496,0.17499999701976776,0.36500000953674316,0.5
CLIP rerank k1=10 k2=1 lambda=0.7,0.2559338324087585,0.17499999701976776,0.3700000047683716,0.5099999904632568
CLIP rerank k1=10 k2=3 lambda=0.1,0.2705310197320124,0.1850000023841858,0.3499999940395355,0.44999998807907104
CLIP rerank k1=10 k2=3 lambda=0.3,0.27536874729149036,0.1850000023841858,0.35499998927116394,0.48500001430511475
CLIP rerank k1=10 k2=3 lambda=0.5,0.2715933806822506,0.1899999976158142,0.38499999046325684,0.48500001430511475
CLIP rerank k1=10 k2=3 lambda=0.7,0.26585668229843,0.1899999976158142,0.3799999952316284,0.48500001430511475
CLIP rerank k1=10 k2=6 lambda=0.1,0.24634005209314055,0.17000000178813934,0.3149999976158142,0.41999998688697815
CLIP rerank k1=10 k2=6 lambda=0.3,0.24910359383831387,0.17000000178813934,0.3149999976158142,0.45500001311302185
CLIP rerank k1=10 k2=6 lambda=0.5,0.2453851605325708,0.1599999964237213,0.3149999976158142,0.45500001311302185
CLIP rerank k1=10 k2=6 lambda=0.7,0.2450040573985082,0.17000000178813934,0.3499999940395355,0.4749999940395355
CLIP rerank k1=15 k2=1 lambda=0.1,0.24333965173873998,0.17499999701976776,0.33500000834465027,0.46000000834465027
CLIP rerank k1=15 k2=1 lambda=0.3,0.24390896982574672,0.18000000715255737,0.3149999976158142,0.49000000953674316
CLIP rerank k1=15 k2=1 lambda=0.5,0.24865693971638236,0.18000000715255737,0.33500000834465027,0.48500001430511475
CLIP rerank k1=15 k2=1 lambda=0.7,0.24635679118811438,0.17499999701976776,0.3449999988079071,0.4950000047683716
CLIP rerank k1=15 k2=3 lambda=0.1,0.2541630671913755,0.17499999701976776,0.33000001311302185,0.4350000023841858
CLIP rerank k1=15 k2=3 lambda=0.3,0.25861734952480586,0.17499999701976776,0.3400000035762787,0.4650000035762787
CLIP rerank k1=15 k2=3 lambda=0.5,0.2626585218343791,0.18000000715255737,0.35499998927116394,0.47999998927116394
CLIP rerank k1=15 k2=3 lambda=0.7,0.25944299385761554,0.18000000715255737,0.35499998927116394,0.5
CLIP rerank k1=15 k2=6 lambda=0.1,0.2483898580212628,0.18000000715255737,0.32499998807907104,0.4399999976158142
CLIP rerank k1=15 k2=6 lambda=0.3,0.2503776630839607,0.18000000715255737,0.3199999928474426,0.4449999928474426
CLIP rerank k1=15 k2=6 lambda=0.5,0.24490770411110163,0.17499999701976776,0.3199999928474426,0.44999998807907104
CLIP rerank k1=15 k2=6 lambda=0.7,0.24306549593881488,0.16500000655651093,0.3499999940395355,0.48500001430511475
CLIP rerank k1=20 k2=1 lambda=0.1,0.23542203423766384,0.16500000655651093,0.3050000071525574,0.4749999940395355
CLIP rerank k1=20 k2=1 lambda=0.3,0.2385681579906181,0.1599999964237213,0.3149999976158142,0.4749999940395355
CLIP rerank k1=20 k2=1 lambda=0.5,0.24156119017544878,0.1599999964237213,0.3100000023841858,0.47999998927116394
CLIP rerank k1=20 k2=1 lambda=0.7,0.2413083303955228,0.16500000655651093,0.3149999976158142,0.5
CLIP rerank k1=20 k2=3 lambda=0.1,0.24716709140278462,0.17499999701976776,0.3100000023841858,0.4350000023841858
CLIP rerank k1=20 k2=3 lambda=0.3,0.25432241922764537,0.18000000715255737,0.3199999928474426,0.4399999976158142
CLIP rerank k1=20 k2=3 lambda=0.5,0.2532244661232819,0.17000000178813934,0.32499998807907104,0.47999998927116394
CLIP rerank k1=20 k2=3 lambda=0.7,0.2511770313669087,0.1599999964237213,0.3449999988079071,0.49000000953674316
CLIP rerank k1=20 k2=6 lambda=0.1,0.24790339996322439,0.1850000023841858,0.32499998807907104,0.4449999928474426
CLIP rerank k1=20 k2=6 lambda=0.3,0.24985835085193564,0.1850000023841858,0.32499998807907104,0.45500001311302185
CLIP rerank k1=20 k2=6 lambda=0.5,0.24506388086708644,0.17499999701976776,0.3400000035762787,0.4449999928474426
CLIP rerank k1=20 k2=6 lambda=0.7,0.2427772166834153,0.16500000655651093,0.3400000035762787,0.48500001430511475
CLIP rerank k1=30 k2=1 lambda=0.1,0.2168355472787405,0.1550000011920929,0.2849999964237213,0.4449999928474426
CLIP rerank k1=30 k2=1 lambda=0.3,0.2281907860800461,0.16500000655651093,0.3050000071525574,0.4399999976158142
CLIP rerank k1=30 k2=1 lambda=0.5,0.2292233418906161,0.1550000011920929,0.3199999928474426,0.45500001311302185
CLIP rerank k1=30 k2=1 lambda=0.7,0.23205575740930562,0.1550000011920929,0.33000001311302185,0.4950000047683716
CLIP rerank k1=30 k2=3 lambda=0.1,0.24209921038933999,0.17000000178813934,0.28999999165534973,0.41999998688697815
CLIP rerank k1=30 k2=3 lambda=0.3,0.24827788617013472,0.17499999701976776,0.32499998807907104,0.4350000023841858
CLIP rerank k1=30 k2=3 lambda=0.5,0.2479854841321567,0.1599999964237213,0.33500000834465027,0.46000000834465027
CLIP rerank k1=30 k2=3 lambda=0.7,0.24771083173342212,0.1599999964237213,0.3449999988079071,0.4749999940395355
CLIP rerank k1=30 k2=6 lambda=0.1,0.24080650815845625,0.17499999701976776,0.3100000023841858,0.4449999928474426
CLIP rerank k1=30 k2=6 lambda=0.3,0.23948273551842247,0.16500000655651093,0.3149999976158142,0.4449999928474426
CLIP rerank k1=30 k2=6 lambda=0.5,0.23794010592793732,0.16500000655651093,0.33000001311302185,0.4399999976158142
CLIP rerank k1=30 k2=6 lambda=0.7,0.23785738296073802,0.1550000011920929,0.3449999988079071,0.4699999988079071
CLIP camera calibration zscore,0.32404557931093314,0.24500000476837158,0.4950000047683716,0.6200000047683716
CLIP camera calibration mean_center,0.29888955839240117,0.2199999988079071,0.4399999976158142,0.5899999737739563
CLIP camera calibration minmax,0.39434937394334996,0.3199999928474426,0.5649999976158142,0.7099999785423279
CLIP + agreement topk=3 beta=0.005,0.23252280761910718,0.15000000596046448,0.3799999952316284,0.5099999904632568
CLIP + agreement topk=3 beta=0.01,0.23127280761910718,0.14499999582767487,0.3799999952316284,0.5099999904632568
CLIP + agreement topk=3 beta=0.02,0.23293947428577383,0.1550000011920929,0.3799999952316284,0.5099999904632568
CLIP + agreement topk=3 beta=0.05,0.23293947428577383,0.1550000011920929,0.3799999952316284,0.5099999904632568
CLIP + agreement topk=5 beta=0.005,0.23493947428577386,0.1599999964237213,0.3799999952316284,0.5099999904632568
CLIP + agreement topk=5 beta=0.01,0.23556447428577384,0.16500000655651093,0.3799999952316284,0.5099999904632568
CLIP + agreement topk=5 beta=0.02,0.23917558539688494,0.18000000715255737,0.3799999952316284,0.5099999904632568
CLIP + agreement topk=5 beta=0.05,0.2364672520635516,0.17499999701976776,0.3799999952316284,0.5099999904632568
CLIP + agreement topk=10 beta=0.005,0.23398577058207015,0.1550000011920929,0.3799999952316284,0.5099999904632568
CLIP + agreement topk=10 beta=0.01,0.23476850867730825,0.1599999964237213,0.3799999952316284,0.5099999904632568
CLIP + agreement topk=10 beta=0.02,0.23585118063498015,0.16500000655651093,0.36000001430511475,0.5099999904632568
CLIP + agreement topk=10 beta=0.05,0.23119708010587964,0.1599999964237213,0.3499999940395355,0.5099999904632568
CLIP standardize+L2,0.26122738210410507,0.1899999976158142,0.38499999046325684,0.5199999809265137
CLIP pca dim=32,0.23627890142963343,0.17000000178813934,0.32499998807907104,0.4749999940395355
CLIP whiten dim=32,0.2689666806446705,0.2150000035762787,0.39500001072883606,0.5
CLIP pca dim=64,0.24799320031784153,0.16500000655651093,0.36000001430511475,0.5
CLIP whiten dim=64,0.28400005872776096,0.2199999988079071,0.41999998688697815,0.5550000071525574
CLIP pca dim=128,0.2525740447299404,0.17499999701976776,0.3799999952316284,0.4950000047683716
CLIP whiten dim=128,0.2508094104536101,0.20000000298023224,0.38999998569488525,0.4699999988079071
CLIP pca dim=256,0.24934508108474834,0.16500000655651093,0.375,0.49000000953674316
CLIP whiten dim=256,0.13825154504664425,0.12999999523162842,0.26499998569488525,0.33000001311302185
